product_name,product_price, product_availability, product_rating,product_reviews
"TECKNET RGB Gaming Keyboard, 105 Keys, All-Metal Panel, 15-Zone RGB Illumination, Silent Keyboard with Wrist Rest, 25 Anti-ghosting Keys, IP32 Water Resistance, USB Wired Keyboard for PC, Mac, Laptop","{'value': 29.99, 'currency': '$'}",In Stock,1837,TRUE
"MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey","{'value': 29.99, 'currency': '$'}",In Stock,8172,TRUE
"Higround Trailhead 65% Mechanical USB Wired Gaming Keyboard, TTC Linear Custom Switches, Programable RGB, Hot-Swappable, Deep Thock Creamy Sounding PC Keyboard, Pre-lubed (SNOWSTONE)","{'value': 99.99, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.  In Stock,109,TRUE
"65% Gaming Keyboard, Wired Backlit Mini Keyboard, Ultra-Compact Anti-Ghosting No-Conflict 68 Keys Membrane Gaming Wired Keyboard for PC Laptop Mac Gamer","{'value': 12.97, 'currency': '$'}",In Stock,250,TRUE
"Manhattan Wired Computer Keyboard – Basic Black Keyboard - with 4.5ft USB-A Cable, 104-keys, Foldable Stands - Compatible for Windows, PC, Laptop - 3 Yr Mfg Warranty – 179324","{'value': 11.49, 'currency': '$'}",In Stock,6382,TRUE
"Corsair K55 CORE RGB Membrane Wired Gaming Keyboard – Quiet, Responsive Switches – Spill Resistance – Ten-Zone RGB – Media Keys – iCUE Compatible – QWERTY NA – PC, Mac – Black","{'value': 39.99, 'currency': '$'}",In Stock  In Stock,12025,TRUE
DAIDAI×AJAZZ AK820 75% Wired Gasket Mechanical Keyboard with Volume Knob - South Facing LED - Poron Foam - PBT Keycaps - Programmable RGB Hot Swap Keyboard,"{'value': 48.99, 'currency': '$'}",In Stock,59,TRUE
"Wired Keyboard,Quiet Keyboard,Multimedia Usb Computer Keyboard,Silent Keyboard with Low Profile Chiclet Keys,Large Number Pad,Spill-Resistant,Anti-Wear Letters,Full Size Keyboard for Laptop,Desktop","{'value': 16.99, 'currency': '$'}",In Stock,488,TRUE
"Lenovo 510 Wireless Keyboard & Mouse Combo, 2.4 GHz Nano USB Receiver, Full Size, Island Key Design, Left or Right Hand, 1200 DPI Optical Mouse, GX30N81775, Black","{'value': 29.44, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.,2170,TRUE
"Corsair K70 RGB PRO Wired Mechanical Gaming Keyboard (Cherry MX RGB Red Switches: Linear and Fast, 8,000Hz Hyper-Polling, PBT Double-Shot PRO Keycaps, Soft-Touch Palm Rest) QWERTY, NA - Black","{'value': 129.99, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.,6212,TRUE
"Logitech G413 SE Full-Size Mechanical Gaming Keyboard - Backlit Keyboard with Tactile Mechanical Switches, Anti-Ghosting, Compatible with Windows, macOS - Black Aluminum","{'value': 67.12, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.,1661,TRUE
"Logitech MK540 Advanced Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Unifying USB-Receiver, Multimedia Hotkeys, 3-Year Battery Life, for PC, Laptop","{'value': 43.99, 'currency': '$'}",In Stock  Only 14 left in stock - order soon.,821,TRUE
"Logitech MX Keys S Wireless Keyboard, Low Profile, Quiet Typing, Backlighting, Bluetooth, USB C Rechargeable for Windows PC, Linux, Chrome, Mac - Graphite - With Free Adobe Creative Cloud Subscription","{'value': 109.99, 'currency': '$'}",In Stock  In Stock,20178,TRUE
"Logitech Wave Keys Wireless Ergonomic Keyboard with Cushioned Palm Rest, Comfortable Natural Typing, Easy-Switch, Bluetooth, Logi Bolt Receiver, for Multi-OS, Windows/Mac - Graphite","{'value': 59.99, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.  In Stock,681,TRUE
Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,"{'value': 34.99, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.,28540,TRUE
SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch),"{'value': 45, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.,6894,TRUE
"Amazon Basics USB Wired Computer Keyboard (QWERTY) and Mouse Bundle Pack, Black","{'value': 13.96, 'currency': '$'}",In Stock,10888,TRUE
